ECONOMY_NAME,promedio_anio_2025,promedio_IN_2025,promedio_OUT_2025,ISO3,GII_Score_2025,GII_Rank_2025,promedio_anio_2024,promedio_IN_2024,promedio_OUT_2024,GII_Score_2024,GII_Rank_2024,promedio_anio_2023,promedio_IN_2023,promedio_OUT_2023,GII_Score_2023,GII_Rank_2023,promedio_anio_2022,promedio_IN_2022,promedio_OUT_2022,GII_Score_2022,GII_Rank_2022,promedio_anio_2021,promedio_IN_2021,promedio_OUT_2021,GII_Rank_2021,GII_Score_2021,POP_2025,PPPGDP_2025,PPPPC_2025,POP_2024,PPPGDP_2024,PPPPC_2024,POP_2023,PPPGDP_2023,PPPPC_2023,POP_2022,PPPGDP_2022,PPPPC_2022,POP_2021,PPPPC_2021
Albania,2023.2222,2023.1,2023.4348,ALB,29.6070839463345,67,2022.0149,2021.7954,2022.4348,24.537929796008,84,2021.0441,2020.8636,2021.375,25.4267581655751,83,2020.058,2019.9773,2020.2,24.44116123631784,84,2018.7747,2018.8695,2018.6,84,28.0253607989027,2791.76,58.196,21376.59,2811.65,55.928,19566.01,2842.32,51.189,17858.42,2873,44.5,15487,2877.8,13651.34
Algeria,2022.1014,2021.826,2022.6522,DZA,18.9014649202574,115,2021.1305,2020.8043,2021.7826,16.1622593758194,115,2020.2463,2019.8667,2020.9584,16.115483912824,119,2019.2084,2018.9788,2019.64,16.69632072135528,115,2018.4932,2018.3405,2018.7693,120,19.8665133989871,46814.31,826.136,17718.29,46164.22,628.99,13681.62,44903.23,600.668,13323.93,44617,532.6,11829,43851.04,11040.56
Angola,2022.6,2022.425,2022.95,AGO,13.0260903597125,138,2021.6066,2021.3903,2022.05,10.2162093483849,133,2020.7833,2020.6097,2021.1578,10.3197925778018,132,2019.1803,2018.9762,2019.6316,13.92050655481026,127,2018.1111,2017.8409,2018.7368,132,14.9646661761396,37885.85,374.937,9801,36749.91,260.323,7077.3,35588.99,245.442,7455.47,33934,218,6820,32866.27,6978.43
Argentina,2023.1333,2022.9608,2023.5,ARG,26.7779545767115,77,2022.1333,2021.9608,2022.5,26.4246461433415,76,2021.0389,2020.8077,2021.52,28.0012236360153,73,2019.9221,2019.75,2020.28,28.6231408015739,69,2018.8334,2018.6792,2019.16,73,29.7791676196146,45696.16,1353.804,28704.1,45538.4,1239.52,26506.09,45510.32,1207.23,26073.8,45606,1049.4,22892,45195.78,20369.64
Armenia,2023.1528,2023.02,2023.4546,ARM,30.448190677743,59,2022.0416,2021.86,2022.4546,29.0187716666494,63,2021.1014,2020.9131,2021.4783,28.0438621519452,72,2020.0714,2019.9565,2020.2916,26.59152932070746,80,2018.8767,2018.75,2019.12,69,31.4130532267586,2973.84,69.297,23376.23,2943.38,58.497,19744.71,2780.47,49.767,16798,2968,43.5,14701,2963.23,13735.48
Australia,2023.1528,2022.9584,2023.5416,AUS,48.0058166127025,22,2022.1831,2022,2022.5416,48.0960889992609,23,2021.0822,2020.8298,2021.5385,49.7118600859763,24,2020.1082,2019.9788,2020.3334,47.13752511126394,25,2018.671,2018.4082,2019.1482,25,48.2676989233492,26713.21,1897.885,69475.41,26451.12,1719.26,64673.83,26177.41,1615.29,62191.59,25788,1427.3,55492,25499.88,50844.73
Austria,2023.2987,2023.2115,2023.48,AUT,50.0967566107785,19,2022.2338,2022.1154,2022.48,50.27656791308,17,2021.1898,2021.0377,2021.5,53.247123385156,18,2020.15,2020.0566,2020.3334,50.18995877892215,17,2018.9747,2018.9423,2019.037,18,50.8524514003489,9120.82,667.153,73050.85000000001,9130.43,626.458,69069,8939.620000000001,599.47,66680.12,9043,531.4,59406,9006.4,55406.1
Azerbaijan,2023,2022.8334,2023.3478,AZE,22.8694672330638,94,2022.014,2021.8334,2022.3914,21.2957909391222,95,2020.9395,2020.7046,2021.4091,23.3091005235952,89,2020.0145,2019.9111,2020.2084,21.45224209446485,93,2018.7361,2018.6595,2018.88,80,28.3548559737835,10336.58,253.121,24698.09,10318.22,192.146,18694.36,10358.07,178.679,17448.2,10223,155.9,15299,10139.18,14499.03
Bahrain,2022.9254,2022.7273,2023.3043,BHR,30.01576627996,62,2021.2754,2020.7609,2022.3043,27.6425638971034,72,2020.174,2019.6383,2021.3182,29.1295461064115,67,2019.2609,2018.8937,2020.0454,27.95431926980761,72,2018.3835,2018.2245,2018.7084,78,28.816140469486,1607.05,105.646,65344.83,1569.69,95.973,60715.02,1472.23,87.905,57921.47,1748,79,53128,1701.58,49057.48
Bangladesh,2022.6515,2022.7111,2022.5238,BGD,20.951047653279,106,2021.7539,2021.7954,2021.6666,19.10711782083,106,2020.6666,2020.5682,2020.8636,20.1815416513409,105,2019.7015,2019.7046,2019.6957,19.67444609877099,102,2018.6812,2018.7778,2018.5,116,20.2163948175817,173562.36,1692.743,9840.469999999999,171467.02,1476.87,8673.26,171186.37,1345.65,7985.1,166303,953.4,5733,164689.38,5138.58
